step,t,x,y,z,vx,vy,vz,X_inertial,Y_inertial,Jacobi_C,Jacobi_Drift
0,0.000000,0.82191513,0.00000000,0.00500000,0.00000000,0.16500000,0.00000000,0.82191513,0.00000000,3.1754207949,0.0000e+00
1,0.001000,0.82191521,0.00016500,0.00499999,0.00017268,0.16499955,-0.00002179,0.82191464,0.00098691,3.1754207949,4.4409e-16
2,0.002000,0.82191547,0.00033000,0.00499996,0.00034535,0.16499820,-0.00004358,0.82191317,0.00197383,3.1754207949,4.4409e-16
3,0.003000,0.82191590,0.00049500,0.00499990,0.00051802,0.16499595,-0.00006537,0.82191072,0.00296074,3.1754207949,4.4409e-16
4,0.004000,0.82191651,0.00065999,0.00499983,0.00069069,0.16499280,-0.00008716,0.82190729,0.00394764,3.1754207949,0.0000e+00
5,0.005000,0.82191728,0.00082498,0.00499973,0.00086335,0.16498876,-0.00010895,0.82190289,0.00493454,3.1754207949,0.0000e+00
6,0.006000,0.82191823,0.00098997,0.00499961,0.00103601,0.16498381,-0.00013074,0.82189750,0.00592143,3.1754207949,4.4409e-16
7,0.007000,0.82191936,0.00115495,0.00499947,0.00120866,0.16497796,-0.00015253,0.82189113,0.00690831,3.1754207949,0.0000e+00
8,0.008000,0.82192065,0.00131992,0.00499930,0.00138130,0.16497122,-0.00017432,0.82188379,0.00789518,3.1754207949,0.0000e+00
9,0.009000,0.82192212,0.00148489,0.00499912,0.00155393,0.16496357,-0.00019611,0.82187547,0.00888203,3.1754207949,0.0000e+00
10,0.010000,0.82192376,0.00164985,0.00499891,0.00172655,0.16495503,-0.00021790,0.82186617,0.00986887,3.1754207949,0.0000e+00
11,0.011000,0.82192557,0.00181480,0.00499868,0.00189916,0.16494559,-0.00023968,0.82185588,0.01085569,3.1754207949,0.0000e+00
12,0.012000,0.82192756,0.00197974,0.00499843,0.00207175,0.16493524,-0.00026147,0.82184462,0.01184249,3.1754207949,0.0000e+00
13,0.013000,0.82192972,0.00214467,0.00499816,0.00224433,0.16492400,-0.00028325,0.82183238,0.01282927,3.1754207949,0.0000e+00
14,0.014000,0.82193205,0.00230959,0.00499786,0.00241689,0.16491186,-0.00030503,0.82181916,0.01381604,3.1754207949,0.0000e+00
15,0.015000,0.82193455,0.00247449,0.00499755,0.00258943,0.16489882,-0.00032681,0.82180497,0.01480277,3.1754207949,4.4409e-16
16,0.016000,0.82193722,0.00263939,0.00499721,0.00276196,0.16488489,-0.00034859,0.82178979,0.01578948,3.1754207949,4.4409e-16
17,0.017000,0.82194007,0.00280426,0.00499685,0.00293446,0.16487005,-0.00037037,0.82177364,0.01677617,3.1754207949,0.0000e+00
18,0.018000,0.82194309,0.00296913,0.00499647,0.00310695,0.16485431,-0.00039214,0.82175650,0.01776282,3.1754207949,4.4409e-16
19,0.019000,0.82194629,0.00313397,0.00499607,0.00327941,0.16483768,-0.00041392,0.82173839,0.01874945,3.1754207949,0.0000e+00
20,0.020000,0.82194965,0.00329880,0.00499564,0.00345185,0.16482015,-0.00043569,0.82171930,0.01973604,3.1754207949,0.0000e+00
21,0.021000,0.82195319,0.00346361,0.00499520,0.00362426,0.16480172,-0.00045746,0.82169923,0.02072260,3.1754207949,0.0000e+00
22,0.022000,0.82195690,0.00362840,0.00499473,0.00379664,0.16478239,-0.00047923,0.82167818,0.02170912,3.1754207949,0.0000e+00
23,0.023000,0.82196078,0.00379318,0.00499424,0.00396900,0.16476216,-0.00050100,0.82165615,0.02269560,3.1754207949,4.4409e-16
24,0.024000,0.82196484,0.00395793,0.00499373,0.00414133,0.16474104,-0.00052276,0.82163314,0.02368205,3.1754207949,4.4409e-16
25,0.025000,0.82196907,0.00412266,0.00499319,0.00431363,0.16471902,-0.00054452,0.82160916,0.02466846,3.1754207949,4.4409e-16
26,0.026000,0.82197347,0.00428737,0.00499264,0.00448590,0.16469610,-0.00056628,0.82158420,0.02565482,3.1754207949,0.0000e+00
27,0.027000,0.82197804,0.00445205,0.00499206,0.00465813,0.16467228,-0.00058804,0.82155825,0.02664114,3.1754207949,4.4409e-16
28,0.028000,0.82198278,0.00461671,0.00499146,0.00483033,0.16464756,-0.00060979,0.82153134,0.02762741,3.1754207949,0.0000e+00
29,0.029000,0.82198770,0.00478134,0.00499084,0.00500250,0.16462195,-0.00063154,0.82150344,0.02861364,3.1754207949,4.4409e-16
30,0.030000,0.82199279,0.00494595,0.00499020,0.00517463,0.16459544,-0.00065329,0.82147456,0.02959981,3.1754207949,0.0000e+00
31,0.031000,0.82199805,0.00511054,0.00498953,0.00534672,0.16456804,-0.00067503,0.82144471,0.03058594,3.1754207949,4.4409e-16
32,0.032000,0.82200348,0.00527509,0.00498885,0.00551877,0.16453974,-0.00069678,0.82141388,0.03157201,3.1754207949,0.0000e+00
33,0.033000,0.82200909,0.00543961,0.00498814,0.00569079,0.16451054,-0.00071852,0.82138207,0.03255803,3.1754207949,4.4409e-16
34,0.034000,0.82201486,0.00560411,0.00498741,0.00586276,0.16448044,-0.00074025,0.82134928,0.03354399,3.1754207949,4.4409e-16
35,0.035000,0.82202081,0.00576858,0.00498666,0.00603469,0.16444945,-0.00076198,0.82131552,0.03452990,3.1754207949,4.4409e-16
36,0.036000,0.82202693,0.00593301,0.00498589,0.00620657,0.16441756,-0.00078371,0.82128077,0.03551574,3.1754207949,4.4409e-16
37,0.037000,0.82203322,0.00609741,0.00498509,0.00637841,0.16438478,-0.00080544,0.82124505,0.03650153,3.1754207949,0.0000e+00
38,0.038000,0.82203969,0.00626178,0.00498428,0.00655021,0.16435110,-0.00082716,0.82120836,0.03748725,3.1754207949,4.4409e-16
39,0.039000,0.82204632,0.00642611,0.00498344,0.00672195,0.16431653,-0.00084888,0.82117068,0.03847291,3.1754207949,0.0000e+00
40,0.040000,0.82205313,0.00659041,0.00498258,0.00689365,0.16428106,-0.00087059,0.82113203,0.03945850,3.1754207949,4.4409e-16
41,0.041000,0.82206011,0.00675467,0.00498170,0.00706530,0.16424470,-0.00089230,0.82109240,0.04044402,3.1754207949,4.4409e-16
42,0.042000,0.82206726,0.00691890,0.00498079,0.00723689,0.16420744,-0.00091401,0.82105180,0.04142947,3.1754207949,4.4409e-16
43,0.043000,0.82207459,0.00708309,0.00497987,0.00740843,0.16416929,-0.00093571,0.82101022,0.04241486,3.1754207949,4.4409e-16
44,0.044000,0.82208208,0.00724724,0.00497892,0.00757992,0.16413025,-0.00095741,0.82096766,0.04340017,3.1754207949,0.0000e+00
45,0.045000,0.82208975,0.00741135,0.00497795,0.00775136,0.16409031,-0.00097910,0.82092412,0.04438540,3.1754207949,0.0000e+00
46,0.046000,0.82209758,0.00757542,0.00497696,0.00792274,0.16404948,-0.00100079,0.82087961,0.04537056,3.1754207949,4.4409e-16
47,0.047000,0.82210559,0.00773945,0.00497595,0.00809406,0.16400775,-0.00102247,0.82083412,0.04635564,3.1754207949,4.4409e-16
48,0.048000,0.82211377,0.00790343,0.00497492,0.00826532,0.16396513,-0.00104415,0.82078766,0.04734064,3.1754207949,0.0000e+00
49,0.049000,0.82212212,0.00806738,0.00497386,0.00843652,0.16392162,-0.00106583,0.82074022,0.04832556,3.1754207949,4.4409e-16
50,0.050000,0.82213064,0.00823128,0.00497279,0.00860766,0.16387722,-0.00108750,0.82069180,0.04931040,3.1754207949,0.0000e+00
51,0.051000,0.82213934,0.00839513,0.00497169,0.00877874,0.16383192,-0.00110916,0.82064241,0.05029515,3.1754207949,0.0000e+00
52,0.052000,0.82214820,0.00855894,0.00497057,0.00894975,0.16378573,-0.00113082,0.82059204,0.05127981,3.1754207949,0.0000e+00
53,0.053000,0.82215724,0.00872270,0.00496943,0.00912070,0.16373865,-0.00115248,0.82054070,0.05226439,3.1754207949,0.0000e+00
54,0.054000,0.82216644,0.00888642,0.00496826,0.00929158,0.16369068,-0.00117413,0.82048838,0.05324888,3.1754207949,0.0000e+00
55,0.055000,0.82217582,0.00905008,0.00496708,0.00946240,0.16364182,-0.00119577,0.82043509,0.05423327,3.1754207949,4.4409e-16
56,0.056000,0.82218537,0.00921370,0.00496587,0.00963315,0.16359207,-0.00121741,0.82038082,0.05521758,3.1754207949,0.0000e+00
57,0.057000,0.82219509,0.00937727,0.00496464,0.00980382,0.16354143,-0.00123904,0.82032558,0.05620178,3.1754207949,0.0000e+00
58,0.058000,0.82220498,0.00954078,0.00496339,0.00997443,0.16348990,-0.00126067,0.82026936,0.05718590,3.1754207949,4.4409e-16
59,0.059000,0.82221503,0.00970425,0.00496212,0.01014496,0.16343748,-0.00128230,0.82021217,0.05816991,3.1754207949,0.0000e+00
60,0.060000,0.82222527,0.00986766,0.00496083,0.01031542,0.16338417,-0.00130391,0.82015400,0.05915382,3.1754207949,0.0000e+00
